name,weight,brand,img,cost,ingredients,categories,store_categories,barcodex,status,tax_class_id,visibility,manage_stock,stock_status_change_auto,use_confic_manage_stock,merchant,store,website,attribute_set,type,store_id
Prince Polo Classic 35 g,35 g,Prince Polo,http://images.aha.is/image/upload/v1779284732/thfv0cgubtgxrz2pj0tf.png,123,"sykur, hveiti, pálmaolía, kakómassi, hveitisterkja, fituskert kakóduft (1%), kakósmjör, mjólkurfita, ýruefni (sojalesitín, E476), kartöflusterkja, repjuolía, salt, lyftiefni (E500, E503), bragðefni, undanrennuduft",Verslun/Sælgæti og snakk/Sælgæti;;Flokkar/Matvara/Sælgæti og snakk/Sælgæti,Sælgæti og snakk,7622210309648,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Santa Maria extra fínt steinsalt 140 g,140 g,Santa Maria,http://images.aha.is/image/upload/v1779366669/t2lkd2dfjtpcdzz5vmax.png,123,Steinsalt,"Verslun/Sósur, Krydd, Olíur/Krydd;;Flokkar/Matvara/Sósur, Krydd, Olíur/Krydd","Sósur, Krydd, Olíur",7311310026790,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Änglamark kryddblanda með sjávarsalti 60 g,60 g,Änglamark,http://images.aha.is/image/upload/v1779366962/pmq3sfjsqox0zohfot6v.png,123,"sjávarsalt (45%), hvítlauksflögur (14%), þurrkaðar kryddjurtir (timían, óreganó, sar), sinnepsfræ, paprikuflögur, svört piparkorn, chilí","Verslun/Sósur, Krydd, Olíur/Krydd;;Flokkar/Matvara/Sósur, Krydd, Olíur/Krydd","Sósur, Krydd, Olíur",7340191101623,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Pottagaldrar Eðalsteik- og grillkrydd 76 g,76 g,Pottagaldrar,http://images.aha.is/image/upload/v1779367208/uy76tfbbmm6goobukuhm.png,0,"salt, svartur pipar, hvítur pipar, paprika, púðursykur, kóriander, laukur, hvítlaukur, cayenne pipar, sellerífræ","Verslun/Sósur, Krydd, Olíur/Krydd;;Flokkar/Matvara/Sósur, Krydd, Olíur/Krydd","Sósur, Krydd, Olíur",5690805100286,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Bananar,,,http://images.aha.is/image/upload/v1779367765/jfzukm5ibv4boxrm867t.png,123,,Verslun/Ávextir og Grænmeti/Ávextir;;Flokkar/Matvara/Ávextir og Grænmeti/Ávextir,Ávextir og Grænmeti,1111111111111,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Granny Smith epli,,,http://images.aha.is/image/upload/v1779367925/xd7w0i7oy8gnw1yt2o7a.png,123,,Verslun/Ávextir og Grænmeti/Ávextir;;Flokkar/Matvara/Ávextir og Grænmeti/Ávextir,Ávextir og Grænmeti,2222222222222,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Kívíávöxtur,,,http://images.aha.is/image/upload/v1779368184/og1kwfjvqjqu0lj0tz97.png,123,,Verslun/Ávextir og Grænmeti/Ávextir;;Flokkar/Matvara/Ávextir og Grænmeti/Ávextir,Ávextir og Grænmeti,3333333333333,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Collab Engifer & Ferskja 330 ml,330 ml,Collab,http://images.aha.is/image/upload/v1779372660/cajotiyfd2qdwzezpn72.png,123,"kolsýrt vatn, vatnsrofið fiskikollagen, náttúrulegt koffín, sætuefni (súkralósi), náttúruleg bragðefni, vítamín",Verslun/Drykkjarvörur/Orkudrykkir;;Flokkar/Matvara/Drykkjarvörur/Orkudrykkir,Drykkjarvörur,5690542006728,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
MS Kókómjólk 250 ml,250 ml,MS,http://images.aha.is/image/upload/v1779373057/pwcbnuandb2zjix3rlub.png,123,"Léttmjólk (94,5%), sykur (4,4%), fituskert kakó, bragðefni, bindiefni (karragenan)",Verslun/Mjólkurvörur/Mjólkurdrykkir;;Flokkar/Matvara/Mjólkurvörur/Mjólkurdrykkir,Mjólkurvörur,5690527210003,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Kristall Léttkolsýrt Bergvatn með Sítrónubragði 330 ml,330 ml,Kristall,http://images.aha.is/image/upload/v1779373240/rrxus22enydjupxuwtdf.png,123,"Léttkolsýrt íslenskt vatn, náttúruleg sítrónubragðefni",Verslun/Drykkjarvörur/Vatn;;Flokkar/Matvara/Drykkjarvörur/Vatn,Drykkjarvörur,5690542005318,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Stjörnugrís Grísakótilettur með beini 390 g,390 g,Stjörnugrís,http://images.aha.is/image/upload/v1779374574/umi5ks1fs8nssciitihf.png,123,Íslenskt grísakjöt,"Verslun/Kjöt, Fiskur, Egg/Kjöt;;Flokkar/Matvara/Kjöt, Fiskur, Egg/Kjöt","Kjöt, Fiskur, Egg",2328627003852,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Kaffitár Morgundögg Malað Kaffi 400 g,400 g,Kaffitár,http://images.aha.is/image/upload/v1779374789/mkrh0fhdo7p0z1blqxss.png,123,,Verslun/Kaffi og te/Kaffi;;Flokkar/Matvara/Kaffi og te/Kaffi,Kaffi og te,5690682026402,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
"Santa Maria ídýfa, Tex Mex guacamole-stíll 250 g",250 g,Santa Maria,http://images.aha.is/image/upload/v1779375169/j77gbifogobpwr4pwqsn.png,123,"Vatn, laukur, tómatur, sólblómaolía, paprika, umbreytt sterkja (E1442), mysuprótein (mjólk), avókadó (1,4%), sykur, jalapeño, salt, hvítlaukur, sýrustillar (E575, E270, E330, E338), gerþykkni, maltódextrín, bragðefni, ýruefni (E450i, E471), þykkingarefni (E415), krydd, litarefni (E100, E141)","Verslun/Sósur, Krydd, Olíur/Sósur;;Flokkar/Matvara/Sósur, Krydd, Olíur/Sósur","Sósur, Krydd, Olíur",7311310038342,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Caffè Gondoliere Espresso 100% Arabica kaffibaunir 1000 g,1000 g,Caffè Gondoliere,http://images.aha.is/image/upload/v1779375500/ylgfush1gsrceyjq6smn.png,123,100% Arabica kaffi,Verslun/Kaffi og te/Kaffi;;Flokkar/Matvara/Kaffi og te/Kaffi,Kaffi og te,8712500014204,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Icelandic Glacial náttúrulegt lindarvatn 500 ml,500 ml,Icelandic Glacial,http://images.aha.is/image/upload/v1779375987/qm87vm3gdt2ixpokbg0f.png,123,Náttúrulegt lindarvatn,Verslun/Drykkjarvörur/Vatn;;Flokkar/Matvara/Drykkjarvörur/Vatn,Drykkjarvörur,0893919001103,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
"Stella Artois Áfengislaus bjór 0,0% 330 ml",330 ml,Stella Artois,http://images.aha.is/image/upload/v1779376284/a7mqegoqkvce5w8yoc7r.png,123,"vatn, byggmalt, humlar, sykur, náttúruleg bragðefni",Verslun/Drykkjarvörur/Gos;;Flokkar/Matvara/Drykkjarvörur/Gos,Drykkjarvörur,5410228279518,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Salling Gold milliristaðar malaðar kaffibaunir 400 g,400 g,Salling,http://images.aha.is/image/upload/v1779389816/zsffpqa6qijio4oxbwzo.png,1149,malaðar Arabica-kaffibaunir,Verslun/Kaffi og te/Kaffi;;Flokkar/Matvara/Kaffi og te/Kaffi,Kaffi og te,5712876211422,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
"Salling malaðar kaffibaunir, meðalristaðar 400 g",400 g,Salling,http://images.aha.is/image/upload/v1779390027/suegggnkjixytg3wuyo7.png,849,"malaðar robusta kaffibaunir, malaðar arabica kaffibaunir",Verslun/Kaffi og te/Kaffi;;Flokkar/Matvara/Kaffi og te/Kaffi,Kaffi og te,5712875173271,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
"Salling lífrænar heilar Arabica kaffibaunir, meðalristaðar 400 g",400 g,Salling Øko,http://images.aha.is/image/upload/v1779390820/xpabkqf4vusyfgt5oeq5.png,1329,lífrænar Arabica kaffibaunir,Verslun/Kaffi og te/Kaffi;;Flokkar/Matvara/Kaffi og te/Kaffi,Kaffi og te,5712876211484,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
"Salling Gold heilar kaffibaunir, meðalristaðar 400 g",400 g,Salling,http://images.aha.is/image/upload/v1779390959/nxr1j0ze5zgepy6vwsa9.png,1229,Heilar Arabica-kaffibaunir,Verslun/Kaffi og te/Kaffi;;Flokkar/Matvara/Kaffi og te/Kaffi,Kaffi og te,5712876211460,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Salling Øko lífrænt malað kaffi 400 g,400 g,Salling Øko,http://images.aha.is/image/upload/v1779391169/yhatya3t1tnslaop3lu6.png,1329,Lífrænt malað Arabica-kaffi,Verslun/Kaffi og te/Kaffi;;Flokkar/Matvara/Kaffi og te/Kaffi,Kaffi og te,5712876211446,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
